,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
88,Matara,LK,75.72,moderate rain,5.9485,80.5353,Amaloh Boutique Resort
90,Namibe,AO,68.52,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
91,Ponta Do Sol,PT,72.23,broken clouds,32.6667,-17.1,Hotel do Campo
92,Mahebourg,MU,71.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Port Alfred,ZA,63.18,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
98,East London,ZA,66.22,overcast clouds,-33.0153,27.9116,Tu Casa
99,Natchitoches,US,81.45,clear sky,31.7668,-93.1335,Super 8 by Wyndham Natchitoches
101,Davila,PH,76.98,overcast clouds,18.4726,120.5763,Blue Ridge Beach Resort
102,Churachandpur,IN,62.47,few clouds,24.3333,93.6667,Joyful tunglut
104,Paragominas,BR,76.82,overcast clouds,-2.9667,-47.4833,INOVA
106,Itoman,JP,81.37,light rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
107,Butaritari,KI,81.55,broken clouds,3.0707,172.7902,Isles Sunset Lodge
108,Saint-Philippe,RE,69.39,few clouds,-21.3585,55.7679,Le four à pain
111,Coahuayana,MX,86.02,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
112,Iquique,CL,60.84,scattered clouds,-20.2208,-70.1431,Backpacker`s Hostel Iquique
116,Sal Rei,CV,76.77,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
118,Carnarvon,AU,63.57,few clouds,-24.8667,113.6333,Hospitality Carnarvon
120,Pachino,IT,68.99,scattered clouds,36.7186,15.0907,Il Veliero
121,Saldanha,ZA,60.84,clear sky,-33.0117,17.9442,Blue Bay Lodge
122,Fukue,JP,70.09,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
126,Georgetown,MY,76.95,few clouds,5.4112,100.3354,Cititel Penang
127,Sabang,ID,80.87,overcast clouds,5.8933,95.3214,Hotel Citra
130,Samarai,PG,81.45,broken clouds,-10.6167,150.6667,Nuli Sapi
131,Abu Dhabi,AE,86.02,clear sky,24.4667,54.3667,Beach Rotana
132,Corvallis,US,76.1,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
138,Port Elizabeth,ZA,70.11,overcast clouds,-33.918,25.5701,39 On Nile Guest House
139,Sarankhola,BD,71.42,broken clouds,22.3082,89.7897,Red Crescent Cyclone Shelter Rashulpur
140,La Reforma,MX,83.5,few clouds,25.0833,-108.05,Hotel Reforma
141,Malakal,SS,72.61,light rain,9.5334,31.6605,Nile Palace Hotel
142,Ardakan,IR,71.76,clear sky,32.31,54.0175,Ardakan Hotel
145,Kruisfontein,ZA,68.88,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
149,Coihaique,CL,70.41,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
151,Kapaa,US,84.52,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
153,Madingou,CG,76.21,light rain,-4.1536,13.55,HOTEL KIM ELISA
154,Tonj,SS,68.94,overcast clouds,7.2737,28.6822,Lakan Hotel
155,Tambau,BR,79.47,overcast clouds,-21.705,-47.2744,Estalagem do Sobreira
156,Mindelo,CV,76.55,few clouds,16.8901,-24.9804,Hotel Gaudi
158,Cururupu,BR,77.23,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
161,Celestun,MX,83.68,scattered clouds,20.8667,-90.4,Posada Lilia
163,Bengkulu,ID,75.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
164,Lira,UG,63.28,moderate rain,2.235,32.9097,ST Lira Hotel Limited
165,Souillac,MU,71.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
